"id","uf"
0,"MG"
1,"SP"
2,"SP"
3,"PR"
4,"SP"
5,"AM"
6,"DF"
7,"RS"
8,"MT"
9,"AC"
10,"MG"
11,"SP"
12,"DF"
13,"SE"
14,"MG"
15,"SP"
16,"SP"
17,"SP"
18,"PA"
19,"PI"
20,"DF"
21,"MG"
22,"PB"
23,"DF"
24,"RJ"
25,"CE"
26,"MG"
27,"RJ"
28,"MS"
29,"AL"
30,"CE"
31,"AM"
32,"SP"
33,"SP"
34,"AM"
35,"RJ"
36,"PR"
37,"SP"
38,"SP"
39,"SP"
40,"CE"
41,"MG"
42,"CE"
43,"SP"
44,"SC"
45,"PR"
46,"SC"
47,"SP"
48,"SP"
49,"MG"
50,"PA"
51,"SE"
52,"MG"
53,"DF"
54,"RS"
55,"SP"
56,"AM"
57,"DF"
58,"RJ"
59,"PR"
60,"SP"
61,"AL"
62,"SP"
63,"AM"
64,"CE"
65,"SP"
66,"SP"
67,"PE"
68,"SP"
69,"SP"
70,"MG"
71,"AC"
72,"SC"
73,"SP"
74,"MG"
75,"TO"
76,"AM"
77,"RO"
78,"PR"
79,"SP"
80,"AM"
81,"SP"
82,"AM"
83,"PR"
84,"PB"
85,"SP"
86,"SP"
87,"RJ"
88,"MG"
89,"MG"
90,"DF"
91,"PB"
92,"GO"
93,"RJ"
94,"ES"
95,"PE"
96,"MG"
97,"AM"
98,"CE"
99,"SC"
100,"SP"
101,"SP"
102,"MG"
103,"AM"
104,"PI"
105,"SP"
106,"SP"
107,"CE"
108,"PR"
109,"TO"
110,"SC"
111,"RJ"
112,"SP"
113,"AP"
114,"SP"
115,"MG"
116,"PB"
117,"CE"
118,"SC"
119,"CE"
120,"SP"
121,"AC"
122,"PR"
123,"PB"
124,"BA"
125,"CE"
126,"CE"
127,"AP"
128,"SP"
129,"RJ"
130,"MG"
131,"RJ"
132,"ES"
133,"MG"
134,"RS"
135,"SP"
136,"SP"
137,"PB"
138,"CE"
139,"SP"
140,"CE"
141,"CE"
142,"BA"
143,"PE"
144,"DF"
145,"RJ"
146,"SC"
147,"PR"
148,"MS"
149,"RN"
150,"PB"
151,"RJ"
152,"PI"
153,"SP"
154,"SP"
155,"RJ"
156,"PB"
157,"CE"
158,"PB"
159,"AC"
160,"SE"
161,"ES"
162,"RR"
163,"BA"
164,"RJ"
165,"BA"
166,"SP"
167,"SC"
168,"AP"
169,"SP"
170,"SC"
171,"SP"
172,"RJ"
173,"SP"
174,"MG"
175,"SC"
176,"SP"
177,"CE"
178,"SC"
179,"CE"
180,"TO"
181,"MG"
182,"SP"
183,"AM"
184,"PR"
185,"MG"
186,"RJ"
187,"SP"
188,"PE"
189,"SP"
190,"AM"
191,"PR"
192,"PR"
193,"PB"
194,"MG"
195,"SP"
196,"ES"
197,"BA"
198,"SP"
199,"SP"
200,"MG"
201,"PE"
202,"RS"
203,"AM"
204,"CE"
205,"PA"
206,"RJ"
207,"MG"
208,"RJ"
209,"SP"
210,"DF"
211,"MG"
212,"PE"
213,"PR"
214,"PR"
215,"RJ"
216,"PR"
217,"RJ"
218,"AM"
219,"PI"
220,"CE"
221,"CE"
222,"RJ"
223,"BA"
224,"MA"
225,"DF"
226,"SP"
227,"AM"
228,"CE"
229,"SP"
230,"SP"
231,"SP"
232,"PB"
233,"SP"
234,"PE"
235,"MG"
236,"PR"
237,"BA"
238,"SC"
239,"RN"
240,"PB"
241,"SC"
242,"RS"
243,"DF"
244,"RS"
245,"RJ"
246,"RN"
247,"MG"
248,"AL"
249,"RN"
250,"SP"
251,"CE"
252,"RN"
253,"SP"
254,"SC"
255,"MG"
256,"PB"
257,"MG"
258,"RN"
259,"MG"
260,"SP"
261,"ES"
262,"RJ"
263,"RJ"
264,"AM"
265,"PB"
266,"BA"
267,"CE"
268,"SP"
269,"SP"
270,"PR"
271,"PR"
272,"MT"
273,"PR"
274,"MG"
275,"AM"
276,"AM"
277,"SP"
278,"RS"
279,"AM"
280,"SP"
281,"TO"
282,"DF"
283,"RS"
284,"DF"
285,"MG"
286,"SP"
287,"PB"
288,"SP"
289,"AL"
290,"SC"
291,"PB"
292,"SP"
293,"CE"
294,"CE"
295,"CE"
296,"PB"
297,"SP"
298,"SP"
299,"SP"
300,"SP"
301,"RS"
302,"SP"
